target,pred,subset
715000.0,826296.7,0
705000.0,806346.56,0
700000.0,793202.5,0
697000.0,780807.9,0
697000.0,777684.6,0
699000.0,771231.6,0
698000.0,759763.56,0
697000.0,755356.7,0
695000.0,742673.8,0
693000.0,726665.4,0
690000.0,706669.44,0
688000.0,690630.6,0
686000.0,687852.56,0
685000.0,685393.3,0
679000.0,674864.1,0
671000.0,656667.25,0
661000.0,632740.3,0
648000.0,607896.1,0
632000.0,590267.75,0
613000.0,589018.5,0
592000.0,584090.25,0
570000.0,575278.7,0
547000.0,569759.06,0
524000.0,557264.9,0
502000.0,548638.06,0
482000.0,542235.0,0
463000.0,539260.9,0
444000.0,537458.56,0
427000.0,535953.44,0
410000.0,531122.6,0
393999.97,520425.47,0
376000.0,510049.12,0
359000.0,501348.06,0
346000.0,493038.9,0
340000.0,484105.88,0
329999.97,474430.28,0
320000.0,464964.34,0
312000.0,455427.16,0
301000.0,445323.5,0
288000.0,434760.7,0
278000.0,425435.7,0
273000.0,416715.25,0
274000.0,409355.1,0
278000.0,403063.47,0
287000.0,397286.84,0
294000.0,392666.6,0
297000.0,388794.78,0
298000.0,386351.62,0
298000.0,384830.6,0
295000.0,387091.0,0
295000.0,389457.88,0
297000.0,390460.34,0
295000.0,390327.28,0
292000.0,389086.75,0
294000.0,387757.1,0
290000.0,385733.5,0
283000.03,384841.47,0
278000.0,382994.03,0
277000.0,379119.6,0
282000.0,375731.0,0
294000.0,373529.72,0
311000.0,371911.44,0
329000.0,370237.34,0
344999.97,368171.03,0
358000.0,365487.84,0
367000.0,363692.78,0
374000.0,362536.9,0
379000.0,363751.47,0
380000.0,364454.75,0
377000.0,365357.56,0
374000.0,366313.47,0
367000.0,365481.5,0
359999.97,364855.53,0
349000.0,364737.72,0
337000.0,363574.1,0
327000.0,362159.34,0
333000.0,360937.47,0
340000.0,359971.4,0
329999.97,359916.06,0
325000.0,360055.38,0
325000.0,360516.22,0
335000.0,361059.47,0
359000.0,361518.78,0
365000.0,362194.12,0
365000.0,361898.16,0
358000.0,361383.28,0
347000.0,360580.2,0
333000.0,360449.72,0
326000.0,360303.06,0
320000.0,359728.38,0
314000.0,359158.1,0
306000.0,359542.0,0
294000.0,359903.1,0
282000.0,360372.4,0
272000.0,360584.66,0
257000.0,361643.78,0
244000.0,363201.56,0
240000.0,363942.56,0
238000.03,363799.88,0
235000.0,362523.25,0
239000.0,361311.94,0
243000.0,360194.1,0
248000.0,359430.12,0
249000.0,358549.44,0
250000.0,357584.84,0
248000.0,356189.47,0
241000.0,354652.25,0
229000.0,353471.88,0
219000.0,353997.16,0
212000.0,354604.62,0
204000.0,354342.7,0
197000.0,353849.47,0
193000.0,353275.78,0
189000.0,353597.06,0
187000.0,354079.75,0
192000.0,354678.53,0
202000.0,354855.72,0
193000.0,354444.8,0
171000.0,353781.5,0
163000.0,353243.56,0
163000.0,352658.3,0
161000.0,351872.66,0
160000.0,351255.62,0
159000.0,350749.3,0
